SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
POLFLT_Ad_Mayfly_2_SI_2,Aquatic adult,Aquatic adult,Policeman Flats,PMF,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.115,28-Feb-23,-22.9,5.3,48.2,15.6,3.1
POLFLT_Araneid_SI_1,Spider,Spider,Policeman Flats,PMF,Araneidae,Araneidae,Predator,Secondary Consumer,1.017,28-Feb-23,-24.4,7.8,44.7,10.5,4.3
POLFLT_Araneid_SI_2,Spider,Spider,Policeman Flats,PMF,Araneidae,Araneidae,Predator,Secondary Consumer,N/A,01-Mar-23,-25.45,7.75,51.05,12,4.25
POLFLT_Araneid_SI_3,Spider,Spider,Policeman Flats,PMF,Araneidae,Araneidae,Predator,Secondary Consumer,N/A,01-Mar-23,-25.5,7.5,50.15,12,4.2
POLFLT_Lar_Chiro_SI_1,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Chironomidae,Chironomidae Larvae,Gatherer-Collector,Primary Consumer,1.08,01-Mar-23,-25.8,6.9,48.3,10.1,4.8
POLFLT_Lar_Mayfly_1_SI_1,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.095,28-Feb-23,-29,5.2,63.6,9.9,6.4
POLFLT_Lar_Mayfly_1_SI_2,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.014,28-Feb-23,-30.8,2.1,45.1,7,6.5
POLFLT_Lar_Mayfly_1_SI_3,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.108,28-Feb-23,-30.7,3.9,55.4,7.4,7.5
POLFLT_Lar_Mayfly_2_SI_1,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.11,01-Mar-23,-23.8,4.4,51.8,10.4,5
POLFLT_Lar_Mayfly_2_SI_2,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.08,01-Mar-23,-26.3,5.2,51,9.8,5.2
POLFLT_Lar_Mayfly_2_SI_3,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.202,28-Feb-23,-26.9,6.6,52.9,10.5,5.1
POLFLT_Lar_Stonefly_1_SI_1,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,N/A,28-Feb-23,-24.15,7.65,50.2,11.95,4.2
POLFLT_Lar_Stonefly_1_SI_2,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,1.09,01-Mar-23,-27.9645966,9.1845743,51.56702885,10.7830705,4.800490684
POLFLT_Lar_Stonefly_1_SI_3,Aquatic larvae,Aquatic larvae,Policeman Flats,PMF,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,N/A,01-Mar-23,-24.85,7.55,51.35,11.1,4.65
POLFLT_Lepidop_SI_1,Terrestrial adult,Terrestrial adult,Policeman Flats,PMF,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.128,01-Mar-23,-27.6,3.3,57.9,10,5.8
POLFLT_Lepidop_SI_2,Terrestrial adult,Terrestrial adult,Policeman Flats,PMF,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.01,01-Mar-23,-26.8,0.9,57.3,9.6,6
POLFLT_Lepidop_SI_3,Terrestrial adult,Terrestrial adult,Policeman Flats,PMF,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.187,01-Mar-23,-25.9,1.2,53,9.1,5.8
POLFLT_SHRUB_SI_1,Terrestrial leaves,Basal food source,Policeman Flats,PMF,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,N/A,03-Mar-23,-29.25,5.5,51.55,3,17.4
POLFLT_SHRUB_SI_2,Terrestrial leaves,Basal food source,Policeman Flats,PMF,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.073,03-Mar-23,-26.5,5.1,50.5,2.2,22.6
POLFLT_SHRUB_SI_3,Terrestrial leaves,Basal food source,Policeman Flats,PMF,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.174,03-Mar-23,-26.8,7.1,52,2.1,25.2
POLFLT_Tetragnatha_SI_1,Spider,Spider,Policeman Flats,PMF,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.035,28-Feb-23,-24.3,9.1,43.1,11.6,3.7
POLFLT_Tetragnatha_SI_2,Spider,Spider,Policeman Flats,PMF,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.005,28-Feb-23,-25.9,8.8,47.1,10.7,4.4
POLFLT_Tetragnatha_SI_3,Spider,Spider,Policeman Flats,PMF,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.015,01-Mar-23,-24.8,8.6,52.6,12.1,4.4
SUNAL_Ad_Chiro_SI_1,Aquatic adult,Aquatic adult,Sunalta,SUN,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.006,01-Mar-23,-30.8,10.5,52.6,10.4,5.1
SUNAL_Ad_Chiro_SI_2,Aquatic adult,Aquatic adult,Sunalta,SUN,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,1.197,01-Mar-23,-29,8.2,52.3,9.8,5.3
